"","ObjID","feature","Indiv","GE","box","form_vessel"
"1",225,"07/95","1",NA,"C95",NA
"2",226,"07/95","2",NA,"C95",NA
"3",227,"07/95","3",NA,"C95",NA
"4",228,"07/95","4",NA,"C95",NA
"5",229,"07/95","5",NA,"C95",NA
"6",230,"07/95","6",NA,"C95",NA
"7",231,"07/95","7",NA,"C95",NA
"8",232,"07/95","8",NA,"C95",NA
"9",233,"07/95","9",NA,"C95",NA
"10",234,"07/95","10",NA,"C95",NA
"11",235,"07/95","11",NA,"C95",NA
"12",236,"07/95","12",NA,"C95",NA
"13",237,"07/95","13",NA,"C95",NA
"14",238,"07/95","14",NA,"C95",NA
"15",239,"07/95","15",NA,"C95",NA
"16",240,"07/95","16",NA,"C95",NA
"17",241,"07/95","17",NA,"C95",NA
"18",242,"07/95","18",NA,"C95",NA
"19",243,"07/95","19",NA,"C95",NA
"20",244,"07/95","20",NA,"C95",NA
"21",245,"07/95","21",NA,"C95",NA
"22",246,"07/95","22",NA,"C95",NA
"23",247,"07/95","23",NA,"C95",NA
"24",248,"07/95","24",NA,"C95","1"
"25",249,"07/95","25",NA,"C95",NA
"26",250,"07/95","146, 151",NA,"C95",NA
"27",251,"07/95","147",NA,"C95",NA
"28",252,"07/95","148",NA,"C95",NA
"29",253,"07/95","149",NA,"C95","1"
"30",254,"07/95","150",NA,"C95","1"
"31",255,"07/95","188",NA,"C95","2a"
"32",256,"07/95","189",NA,"C95","2"
"33",257,"07/95","190",NA,"C95","2"
"34",258,"07/95","191",NA,"C95",NA
"35",259,"07/95","192",NA,"C95",NA
"36",260,"07/95","##",NA,"C95",NA
"37",261,"07/95","##",NA,"C95",NA
"38",262,"07/95","214–245",NA,"C95",NA
"39",263,"07/1","/I-1:61",NA,"C1",NA
"40",264,"07/1","/I-2:1",NA,"C1","2"
"41",265,"07/1","/I-2:13",NA,"C1",NA
"42",266,"07/1","/I-2:59",NA,"C1",NA
"43",267,"07/1","/II-1:100",NA,"C1",NA
"44",268,"07/1","/II-1:105",NA,"C1",NA
"45",269,"07/1","/II-1:164",NA,"C1",NA
"46",270,"07/1","/II-1:173",NA,"C1",NA
"47",271,"07/1","/II-1:191",NA,"C1",NA
"48",272,"07/1","/II-1:6?",NA,"C1","2"
"49",273,"07/1","/II-1:62",NA,"C1","1"
"50",274,"07/1","/II-1:65",NA,"C1",NA
"51",275,"07/1","/II-1:82",NA,"C1","1"
"52",276,"07/1","/II-1:83",NA,"C1","1"
"53",277,"07/1","/II-1:87",NA,"C1",NA
"54",278,"07/1","/II-1:88",NA,"C1",NA
"55",279,"07/1","/II-1:90",NA,"C1","1"
"56",280,"07/1","/II-1:92",NA,"C1",NA
"57",281,"07/1","/II-1:98",NA,"C1",NA
"58",282,"07/1","/II-1.172",NA,"C1",NA
"59",283,"07/1","/II-2:2",NA,"C1","2"
"60",284,"07/1","/II-2:2?",NA,"C1","2"
"61",285,"07/1","/II-2:6",NA,"C1",NA
"62",286,"07/1","/II-2:67",NA,"C1",NA
"63",287,"07/1","/II-2:9",NA,"C1",NA
"64",288,"07/1","/II-3:1",NA,"C1",NA
"65",289,"07/1","/II-3:2",NA,"C1",NA
"66",290,"07/1","/II-3:21",NA,"C1",NA
"67",291,"07/1","/II-3:3",NA,"C1",NA
"68",292,"07/1","/II-3:31",NA,"C1",NA
"69",293,"07/1","/II-3:32",NA,"C1",NA
"70",294,"07/1","/II-3:7",NA,"C1","2"
"71",295,"07/1","/II-4:11",NA,"C1",NA
"72",296,"07/1","/II-4:12",NA,"C1",NA
"73",297,"07/1","/II-4:13",NA,"C1",NA
"74",298,"07/1","/II-4:20",NA,"C1",NA
"75",299,"07/1","/II-4:21",NA,"C1",NA
"76",300,"07/1","/II-4:22",NA,"C1","1c"
"77",301,"07/1","/II-4:23 /II-4:14, /II-3:5, /II-4:1, II-3:21",NA,"C1","1"
"78",302,"07/1","/II-4:26",NA,"C1",NA
"79",303,"07/1","/II-4:28",NA,"C1","2"
"80",304,"07/1","/II-4:29",NA,"C1",NA
"81",305,"07/1","/II-4:35",NA,"C1","1c"
"82",306,"07/1","/II-4:36-37",NA,"C1","1c"
"83",307,"07/1","/II-4:38",NA,"C1",NA
"84",308,"07/1","/II-4:39",NA,"C1","1c"
"85",309,"07/1","/II-4:40",NA,"C1","1c"
"86",310,"07/1","/II-4:41",NA,"C1","1c"
"87",311,"07/1","/II-4:45",NA,"C1",NA
"88",312,"07/1","/II-4:52",NA,"C1",NA
"89",313,"07/1","/II-4:68",NA,"C1",NA
"90",314,"07/1","/II-4:8",NA,"C1",NA
"91",315,"07/2","/I-1:15",NA,"C2",NA
"92",316,"07/2","/I-2:1",NA,"C2",NA
"93",317,"07/2","/I-2:3",NA,"C2",NA
"94",318,"07/2","/I-2:6",NA,"C2",NA
"95",319,"07/2","/I-3:1",NA,"C2",NA
"96",320,"07/2","/I-3:4",NA,"C2",NA
"97",321,"07/2","/I-4:2 /I-4:6,9",NA,"C2",NA
"98",322,"07/2","/II-1:15",NA,"C2",NA
"99",323,"07/2","/II-1:16",NA,"C2",NA
"100",324,"07/2","/II-1:33",NA,"C2",NA
"101",325,"07/2","/II-1:34",NA,"C2",NA
"102",326,"07/2","/II-1:35",NA,"C2",NA
"103",327,"07/2","/II-1:4",NA,"C2","1"
"104",328,"07/2","/II-1:5",NA,"C2","1"
"105",329,"07/2","/II-1:6",NA,"C2","1"
"106",330,"07/2","/II-1:65",NA,"C2",NA
"107",331,"07/2","/II-1:7",NA,"C2","1"
"108",332,"07/2","/II-2:12",NA,"C2",NA
"109",333,"07/2","/II-2:15",NA,"C2",NA
"110",334,"07/2","/II-2:2 /II-3:2,57,62",NA,"C2","2"
"111",335,"07/2","/II-2:24",NA,"C2","1"
"112",336,"07/2","/II-2:25",NA,"C2","1"
"113",337,"07/2","/II-2:26",NA,"C2","1"
"114",338,"07/2","/II-2:27",NA,"C2",NA
"115",339,"07/2","/II-2:3",NA,"C2",NA
"116",340,"07/2","/II-3:31",NA,"C2",NA
"117",341,"07/2","/II-3:4",NA,"C2","1"
"118",342,"07/2","/II-3:58",NA,"C2",NA
"119",343,"07/2","/II-3:71",NA,"C2",NA
"120",344,"07/2","/II-3:72",NA,"C2",NA
"121",345,"07/2","/II-3:73",NA,"C2",NA
"122",346,"07/2","/II-3:74",NA,"C2",NA
"123",347,"07/2","/II-3:86",NA,"C2",NA
"124",348,"07/2","/II-4:1",NA,"C2",NA
"125",349,"07/3","-1:70–93","3-1","C3-2","1a"
"126",350,"07/3","-1:425–431","3-3","C3-2","1a"
"127",351,"07/3","-1:34–37","3-4","C3-1","1a"
"128",353,"07/3","-1:278–306","3-9","C3-1","1a"
"129",355,"07/3","-1:148–192","3-5","C3-1","1a"
"130",356,"07/3","-1:2–6","3-6","C3-2","1a"
"131",358,"07/3","-1:125–130","3-7","C3-2","1a"
"132",360,"07/3","-1:200–236","3-11","C3-1","1a"
"133",362,"07/3","-1:307–327","3-2","C3-1","1a"
"134",363,"07/3","-1:45–53","3-13","C3-2","1a"
"135",365,"07/3","-1:1","3-12","C3-1","1a"
"136",430,"07/3","-1:336","3-10","C3-1","1a"
"137",452,"07/4","-1:1–25","4-1","C4","1a"
"138",454,"07/5","-1:1–13 -2:1–2","5-1","C5","1a"
"139",455,"07/5","-1:14–23 -2:4–9","5-2","C5","1a"
"140",462,"07/5","-2:11–34","5-3","C5","1a"
"141",476,"07/6","-1:28,42–45 -2:164–165,173–184","6-5","C6","1a"
"142",477,"07/6","-1:1–7 -2:37–70 -3:39","6-2","C6","1a"
"143",478,"07/6","-1:12–18 -2:71–82,101–148","6-3","C6","1a"
"144",487,"07/6","-2:1–4,13–36","6-1","C6","1a"
"145",523,"07/7","-1:1–3 -3:1–3,6,33–42","7-20","C7-1","2b"
"146",524,"07/7","-2:1–3","7-1","C7-1","1a"
"147",525,"07/7","-2:1 -3:2,41–65","7-21","C7-1",NA
"148",530,"07/7","-3:1–3","7-2","C7-1","1a"
"149",544,"07/7","-4:1 -6:2–9,12,15","7-3","Regal","2b"
"150",545,"07/7","-3:5 -4.10–12 -5:1–5","7-4","C7-1","1a"
"151",552,"07/7","-6:1–6 -7:194 -8:10","7-11","C7-2","1a"
"152",553,"07/7","-6:8–10 -7:202–204 -8:13","7-16","C7-2","1a"
"153",555,"07/7","-6:5,13","7-19","C7-2","1a"
"154",557,"07/7","-6:16–20 -7:192,205 -8:5,17–28","7-17","C7-2","1a"
"155",570,"07/7","-7:8–9,23–31","7-6","C7-3","1a"
"156",571,"07/7","-7:166–167,179–191","7-15","C7-3","1a"
"157",572,"07/7","-7:103–164","7-13","C7-2","1a"
"158",573,"07/7","-7:1–7","7-5","C7-3","1a"
"159",578,"07/7","-7:165","7-14","C7-1","1a"
"160",583,"07/7","-7:193,196,199–201 -8:15,24","7-23","C7-2","1a"
"161",586,"07/7","-7:198","7-22","C7-2",NA
"162",596,"07/7","-7:32–41","7-7","C7-3","1a"
"163",600,"07/7","-7:42","7-8","Regal","2c"
"164",601,"07/7","-7:53–67","7-9","C7-1","1a"
"165",606,"07/7","-7:68–75","7-10","C7-2","1a"
"166",611,"07/7","-7:76–102","7-12","C7-2","1a"
"167",636,"07/9","-2:1–9","9-3","C9","2b"
"168",637,"07/9","-2:10–22","9-2","C9","1a"
"169",641,"07/9","-2:24–33","9-4","C9","2b"
"170",642,"07/9","-2:23","9-1","C9","1a"
"171",645,"07/10","-3:1","10-1","C10-1","1b"
"172",646,"07/10","-3:2","10-2","C10-1","1a"
"173",647,"07/10","-4:1–9","10-3","C10-2","1b"
"174",648,"07/10","-4:10","10-4","C10-1","1a"
"175",649,"07/10","-4:11 -5:1–3","10-5","C10-1","2b"
"176",654,"07/12","/II-1:27","12-5","C12","1b"
"177",655,"07/12","/II-2:98–128","12-3","C12","1a"
"178",656,"07/12","/II-2:74–97","12-2","C12","2b"
"179",667,"07/12","/II-3:1–6,14–26","12-4","C12","1b"
"180",674,"07/14","-1:1",NA,"C14","4"
"181",675,"07/14","-1:2–3",NA,"C14",NA
"182",676,"07/14","-1:4–8",NA,"C14",NA
"183",677,"07/7","4",NA,NA,NA
"184",678,"07/12","/II-2:versch","12-1","C12","1a"
"185",679,"07/13","/II-4:2,9,22,33,49,50,70,73,95","13-1",NA,"1b"
"186",680,"05/1",NA,"A14-1",NA,"1a"
"187",681,"05/1",NA,"A14-2",NA,"3c"
"188",682,"05/1",NA,"A14-3",NA,"1a"
"189",683,"05/2",NA,"B13-1",NA,NA
"190",684,"05/2",NA,"C14-2",NA,"1a"
"191",685,"05/2",NA,"C14-3",NA,"1a"
"192",686,"05/2",NA,"C14-4",NA,"2b"
"193",687,"05/C",NA,"A12",NA,"1a"
"194",688,"05/C",NA,"A13-1",NA,"1a"
"195",689,"05/C",NA,"A13-3",NA,"1a"
"196",690,"05/C",NA,"A13-2",NA,"1a"
"197",691,"05/3",NA,"V3-2",NA,"1a"
"198",692,"05/3",NA,"V3-6",NA,"1a"
"199",693,"05/3",NA,"V3-1",NA,"1a"
"200",694,"05/3",NA,"V3-8",NA,"1a"
"201",695,"05/3",NA,"V3-3",NA,"1a"
"202",696,"05/3",NA,"V3-4",NA,"1a"
"203",697,"05/3",NA,"V3-5",NA,"1a"
"204",698,"05/3",NA,"W3-7",NA,"2a"
"205",699,"05/3",NA,"W3-8",NA,"1a"
"206",700,"05/3",NA,"W3-13",NA,"1a"
"207",701,"05/3",NA,"W3-12",NA,"1a"
"208",702,"05/3",NA,"W3-9",NA,"1a"
"209",703,"05/3",NA,"W3-10.2",NA,"1a"
"210",704,"05/3",NA,"W3-10.1",NA,"2a"
"211",705,"05/3",NA,"W4-14",NA,"1a"
"212",706,"05/3",NA,"W4-15",NA,"2a"
"213",707,"05/4",NA,"T17-1",NA,"1a"
"214",708,"05/4",NA,"T17-2",NA,"1a"
"215",709,"05/4",NA,"T17-3",NA,"1a"
"216",710,"05/4",NA,"T17-4",NA,"2a"
"217",711,"05/G",NA,"T20-2",NA,"1a"
"218",712,"05/G",NA,"T20-1",NA,"2a"
"219",713,"05/5",NA,"Q31-2",NA,"1b"
"220",714,"05/5",NA,"Q31-1",NA,"1b"
"221",715,"05/5",NA,"R31-3",NA,"1a"
"222",716,"05/5",NA,"R31-4",NA,"2b"
"223",717,"05/5",NA,"S31-5",NA,"2b"
"224",718,"05/I",NA,"R32-1",NA,"1a"
"225",719,"05/I",NA,"S32-2",NA,"1a"
"226",730,"07/11","/0:24",NA,NA,NA
"227",731,"07/11","/0:25",NA,NA,NA
"228",732,"07/11","I/6:10",NA,NA,NA
"229",733,"07/11","I/6:11",NA,NA,NA
"230",734,"07/11","I/6:12",NA,NA,NA
"231",735,"07/11","I/6:13",NA,NA,NA
"232",736,"07/11","I/6:14",NA,NA,NA
"233",737,"07/11","I/6:15",NA,NA,NA
"234",738,"07/11","I/1:23",NA,NA,NA
"235",739,"07/11","I/1:48",NA,NA,NA
"236",740,"07/11","I/1:41",NA,NA,NA
"237",741,"07/11","I/1:32",NA,NA,NA
"238",742,"07/11","I/1:29",NA,NA,NA
"239",743,"07/11","I/1:47",NA,NA,NA
"240",744,"07/11","I/1:37",NA,NA,NA
"241",745,"07/11","I/1:44",NA,NA,NA
"242",746,"07/11","I/1:43",NA,NA,NA
"243",747,"07/11","I/1:40",NA,NA,NA
"244",748,"07/11","I/1:50",NA,NA,NA
"245",749,"07/11","I/1:34",NA,NA,NA
"246",750,"07/11","I/1:45",NA,NA,NA
"247",751,"07/11","I/1:49",NA,NA,NA
"248",752,"07/11","I/1:46",NA,NA,NA
"249",753,"07/11","I/1:38",NA,NA,NA
"250",754,"07/11","I/1:35",NA,NA,NA
"251",755,"07/11","I/1:39",NA,NA,NA
"252",756,"07/11","I/1:42",NA,NA,NA
"253",757,"07/11","I/4:11",NA,NA,NA
"254",758,"07/11","I/4:12",NA,NA,NA
"255",759,"07/11","I/4:13",NA,NA,NA
"256",760,"07/11","I/4:14",NA,NA,NA
"257",761,"07/11","I/4:15",NA,NA,NA
"258",762,"07/11","II/2b:34",NA,NA,NA
"259",763,"07/11","II/2b:65",NA,NA,NA
"260",764,"07/11","I/2:3",NA,NA,NA
"261",765,"07/11","II/2b:62",NA,NA,NA
"262",766,"07/11","II/2b:108",NA,NA,NA
"263",767,"07/11","II/2b:25","G11.2",NA,"3a"
"264",770,"07/11","II/2b:44",NA,NA,NA
"265",772,"07/11","I/3:10",NA,NA,NA
"266",774,"07/11","II/2b:121",NA,NA,NA
"267",775,"07/11","I/3:12",NA,NA,NA
"268",776,"07/11","II/2b:59",NA,NA,NA
"269",777,"07/11","/0:2",NA,NA,NA
"270",778,"07/11","II/2b:75",NA,NA,NA
"271",780,"07/11","I/3:2",NA,NA,"3b"
"272",781,"07/11","II/2b:52",NA,NA,"3b"
"273",782,"07/11","II/2c:1","G11.4",NA,"3a"
"274",783,"07/11","II/2b:99",NA,NA,NA
"275",785,"07/11","II/2b:57",NA,NA,NA
"276",786,"07/11","II/2b:96",NA,NA,NA
"277",789,"07/11","II/2b:45",NA,NA,NA
"278",790,"07/11","II/2b:72",NA,NA,NA
"279",791,"07/11","II/2b:135",NA,NA,NA
"280",793,"07/13","II/4:21",NA,NA,"1c"
"281",794,"07/13","II/4:4",NA,NA,"2a"
"282",795,"07/13","II/4:12",NA,NA,"2a"
"283",796,"07/13","II/4:17",NA,NA,"2a"
"284",797,"07/13","II/3a:1",NA,NA,NA
"285",799,"07/13","II/4:32",NA,NA,NA
"286",800,"07/13","II/4:36",NA,NA,NA
"287",803,"07/13","II/4:38",NA,NA,NA
"288",804,"07/13","I/5:7",NA,NA,NA
"289",805,"07/13","II/3a:8",NA,NA,NA
"290",806,"07/13","I/5:1","G13.2",NA,"2a"
"291",807,"07/13","II/4:2","G13.3",NA,"1c"
"292",808,"07/13","II/4:198",NA,NA,NA
"293",809,"07/13","I/1:12",NA,NA,NA
"294",810,"07/13","I/2:7",NA,NA,NA
"295",811,"07/13","I/1:3",NA,NA,"2a"
"296",812,"07/13","II/4:52",NA,NA,"1c"
"297",813,"07/13","I/1:2",NA,NA,"2a"
"298",815,"07/13","II/4:124",NA,NA,NA
"299",817,"07/13","II/4:37",NA,NA,NA
"300",818,"07/13","II/4:3","G13.4",NA,"2"
"301",820,"07/13","II/4:41",NA,NA,NA
"302",821,"07/13","II/3a:24",NA,NA,NA
"303",822,"07/13","II/4:175",NA,NA,NA
"304",823,"07/13","II/4:123",NA,NA,NA
"305",824,"07/13","II/4:45",NA,NA,NA
"306",826,"07/11","II/2b:1","G11.1",NA,"3a"
"307",828,"07/13","II/4:55",NA,NA,NA
"308",829,"07/13","I/1:27",NA,NA,NA
"309",830,"07/13","I/2:1",NA,NA,NA
"310",831,"07/13","II/3a:26",NA,NA,NA
"311",832,"07/13","II/4:66",NA,NA,NA
"312",833,"07/13","II/4:139",NA,NA,NA
"313",834,"07/11","II/2c:8",NA,NA,NA
"314",835,"07/13","II/4:31",NA,NA,NA
"315",836,"07/11","II/2b:107",NA,NA,NA
"316",837,"07/13","II/4:72",NA,NA,NA
"317",838,"07/11","I/5:2",NA,NA,NA
"318",839,"07/11","II/2a&2b:1",NA,NA,NA
"319",840,"07/11","II/2b:204",NA,NA,NA
"320",841,"07/11","II/2b:53",NA,NA,NA
"321",842,"07/11","I/3:8",NA,NA,NA
"322",843,"07/11","I/3:9",NA,NA,NA
"323",844,"07/11","II/2b:74",NA,NA,NA
"324",845,"07/11","I/6:1",NA,NA,NA
"325",846,"07/11","II/2b:50",NA,NA,NA
"326",847,"07/11","II/2b:63",NA,NA,NA
"327",848,"07/11","I/2:4",NA,NA,NA
"328",849,"07/11","II/2b:83",NA,NA,NA
"329",850,"07/11","I/3:11",NA,NA,NA
"330",851,"07/11","II/2b:238",NA,NA,NA
"331",852,"07/11","II/2b:108",NA,NA,NA
"332",853,"07/11","II/2b:163",NA,NA,NA
"333",854,"07/11","II/2b:68",NA,NA,NA
"334",855,"07/11","II/2b:42",NA,NA,NA
"335",856,"07/11","I/5:1",NA,NA,NA
"336",857,"07/11","II/2b:82",NA,NA,NA
"337",858,"07/11","/0:1",NA,NA,NA
"338",859,"07/11","II/2b:76",NA,NA,NA
"339",860,"07/11","II/2b:60",NA,NA,NA
"340",861,"07/11","I/2:1",NA,NA,NA
"341",862,"07/11","I/4:1",NA,NA,NA
"342",863,"07/11","II/2b:49",NA,NA,NA
"343",864,"07/11","I/3:3",NA,NA,NA
"344",865,"07/11","I/1:2",NA,NA,NA
"345",866,"07/11","I/1:5",NA,NA,NA
"346",867,"07/11","I/1:16",NA,NA,NA
"347",868,"07/11","I/2:2",NA,NA,NA
"348",869,"07/11","I/2:7",NA,NA,NA
"349",870,"07/11","I/2:16",NA,NA,NA
"350",871,"07/11","I/2:17",NA,NA,NA
"351",872,"07/11","I/2:19",NA,NA,NA
"352",873,"07/11","II/2b:41",NA,NA,NA
"353",874,"07/11","I/1:1",NA,NA,NA
"354",875,"07/11","II/2b:53",NA,NA,NA
"355",876,"07/11","II/2b:51",NA,NA,NA
"356",877,"07/11","II/2b:43",NA,NA,NA
"357",878,"07/11","I/3:5",NA,NA,NA
"358",879,"07/11","I/1:6",NA,NA,NA
"359",880,"07/11","I/2:13",NA,NA,NA
"360",881,"07/11","I/1:18",NA,NA,NA
"361",882,"07/11","II/2b:70",NA,NA,NA
"362",883,"07/11","II/2b:54",NA,NA,NA
"363",884,"07/11","I/2:12",NA,NA,NA
"364",885,"07/11","II/2b:66",NA,NA,NA
"365",886,"07/11","I/1:8",NA,NA,NA
"366",887,"07/11","II/2b:104",NA,NA,NA
"367",888,"07/11","II/2b:69",NA,NA,NA
"368",889,"07/11","I/1:12",NA,NA,NA
"369",890,"07/11","I/1:19",NA,NA,NA
"370",891,"07/11","II/2b:71",NA,NA,NA
"371",892,"07/11","I/1:14",NA,NA,NA
"372",893,"07/11","II/2b:103",NA,NA,NA
"373",894,"07/11","I/1:13",NA,NA,NA
"374",895,"07/11","II/2c:7",NA,NA,NA
"375",896,"07/11","I/1:27",NA,NA,NA
"376",897,"07/11","II/2b:123",NA,NA,NA
"377",898,"07/11","II/2b:127",NA,NA,NA
"378",899,"07/11","I/1:22",NA,NA,NA
"379",900,"07/11","II/2b:141",NA,NA,NA
"380",901,"07/11","II/2b:137",NA,NA,NA
"381",902,"07/11","I/1:24",NA,NA,NA
"382",903,"07/11","II/2b:125",NA,NA,NA
"383",904,"07/11","I/1:28",NA,NA,NA
"384",905,"07/11","II/2b:198",NA,NA,NA
"385",906,"07/11","II/2b:201",NA,NA,NA
"386",907,"07/11","II/2b:192",NA,NA,NA
"387",908,"07/11","II/2b:130",NA,NA,NA
"388",909,"07/11","I/1:36",NA,NA,NA
"389",910,"07/11","II/2b:197",NA,NA,NA
"390",911,"07/11","I/1:4",NA,NA,NA
"391",912,"07/11","II/2b:102",NA,NA,NA
"392",913,"07/11","I/1:3",NA,NA,NA
"393",914,"07/11","II/2b:61",NA,NA,NA
"394",915,"07/11","II/2b:64",NA,NA,NA
"395",916,"07/11","II/2b:91",NA,NA,NA
"396",917,"07/11","I/2:9",NA,NA,NA
"397",918,"07/11","II/2b:98",NA,NA,NA
"398",919,"07/11","I/3:14",NA,NA,NA
"399",920,"07/11","II/2b:81",NA,NA,NA
"400",921,"07/11","I/1:15",NA,NA,NA
